date,code,open,high,low,close,volume,trading_value
2026-05-20,005930,72400,73200,71900,72800,11000000,800800000000
2026-05-21,005930,72900,73500,72100,73000,11200000,817600000000
2026-05-22,005930,73100,73800,72800,73500,12000000,882000000000
2026-05-25,005930,73600,74100,73000,73300,10500000,769650000000
2026-05-26,005930,73400,74200,73100,74000,11800000,873200000000
2026-05-27,005930,74100,74700,73500,74200,12300000,912660000000
2026-05-28,005930,74300,74800,73800,74600,11900000,887740000000
2026-05-29,005930,74700,75100,74000,74400,11600000,863040000000
2026-06-01,005930,74500,75400,74200,75200,12100000,909920000000
2026-06-02,005930,75300,76000,74800,75800,12900000,977820000000
2026-06-03,005930,75900,76200,75100,75400,11700000,882180000000
2026-06-04,005930,75500,76600,75200,76300,13000000,991900000000
2026-06-05,005930,76400,76800,75600,75900,12600000,956340000000
2026-06-08,005930,76000,76900,75700,76500,12800000,979200000000
2026-06-09,005930,76600,77100,76000,76800,13200000,1013760000000
2026-06-10,005930,76900,77300,76200,76400,11900000,909160000000
2026-06-11,005930,76500,77500,76300,77200,13600000,1049920000000
2026-06-12,005930,77300,77700,76600,76900,12200000,938180000000
2026-06-15,005930,77000,77800,76500,77500,13500000,1046250000000
2026-06-16,005930,77600,78000,76000,76100,14000000,1065400000000
